eggnog_id	taxid	ratio
ENOG4105CEY	183710	0.002569373072970195272353545735
ENOG4105CEY	1268	0.003939705378554299417608770127
ENOG4105CEY	1300	0.001541623843782117163412127441
ENOG4105CEY	292628	0.0006851661527920520726276121960
ENOG4105CEY	84997	0.001370332305584104145255224392
ENOG4105CEY	117942	0.0005138746145940390544707091470
ENOG4105CEY	84994	0.0008564576909900650907845152449
ENOG4105CEY	89373	0.002226789996574169236039739637
ENOG4105CEY	82115	0.006509078451524494689962315862
ENOG4105CEY	32033	0.002569373072970195272353545735
ENOG4105CEY	186820	0.001027749229188078108941418294
ENOG4105CEY	219687	0.0003425830763960260363138060980
ENOG4105CEY	316606	0.001370332305584104145255224392
ENOG4105CEY	28056	0.007536827680712572798903734156
ENOG4105CEY	119045	0.008564576909900650907845152449
ENOG4105CEY	119043	0.002055498458376156217882836588
ENOG4105CEY	137	0.001027749229188078108941418294
ENOG4105CEY	186824	0.001884206920178143199725933539
ENOG4105CEY	85019	0.001712915381980130181569030490
ENOG4105CEY	134623	0.0003425830763960260363138060980
ENOG4105CEY	69657	0.003939705378554299417608770127
ENOG4105CEY	403	0.0006851661527920520726276121960
ENOG4105CEY	1508635	0.003939705378554299417608770127
ENOG4105CEY	92712	0.0003425830763960260363138060980
ENOG4105CEY	92713	0.0006851661527920520726276121960
ENOG4105CEY	85015	0.009421034600890715998629667694
ENOG4105CEY	815	0.004110996916752312435765673176
ENOG4105CEY	92714	0.0006851661527920520726276121960
ENOG4105CEY	2012	0.003083247687564234326824254882
ENOG4105CEY	74712	0.01216169921205892428914011648
ENOG4105CEY	189779	0.0005138746145940390544707091470
ENOG4105CEY	1524215	0.0006851661527920520726276121960
ENOG4105CEY	717964	0.0001712915381980130181569030490
ENOG4105CEY	189773	0.001712915381980130181569030490
ENOG4105CEY	712	0.004624871531346351490236382323
ENOG4105CEY	126	0.002226789996574169236039739637
ENOG4105CEY	453228	0.002398081534772182254196642686
ENOG4105CEY	72294	0.003254539225762247344981157931
ENOG4105CEY	145357	0.001027749229188078108941418294
ENOG4105CEY	118968	0.0003425830763960260363138060980
ENOG4105CEY	1129771	0.0008564576909900650907845152449
ENOG4105CEY	204434	0.0003425830763960260363138060980
ENOG4105CEY	204431	0.0003425830763960260363138060980
ENOG4105CEY	75787	0.006337786913326481671805412813
ENOG4105CEY	85002	0.001199040767386091127098321343
ENOG4105CEY	89374	0.0008564576909900650907845152449
ENOG4105CEY	2062	0.03134635149023638232271325797
ENOG4105CEY	104174	0.001370332305584104145255224392
ENOG4105CEY	224027	0.001541623843782117163412127441
ENOG4105CEY	31984	0.0008564576909900650907845152449
ENOG4105CEY	186803	0.005481329222336416581020897568
ENOG4105CEY	72276	0.002226789996574169236039739637
ENOG4105CEY	72275	0.007708119218910585817060637205
ENOG4105CEY	75682	0.002226789996574169236039739637
ENOG4105CEY	135621	0.01730044535799931483384720795
ENOG4105CEY	31989	0.04453579993148338472079479274
ENOG4105CEY	255526	0.0003425830763960260363138060980
ENOG4105CEY	32011	0.0008564576909900650907845152449
ENOG4105CEY	33958	0.001712915381980130181569030490
ENOG4105CEY	1106	0.002740664611168208290510448784
ENOG4105CEY	85034	0.0008564576909900650907845152449
ENOG4105CEY	85032	0.0001712915381980130181569030490
ENOG4105CEY	85031	0.001370332305584104145255224392
ENOG4105CEY	85030	0.001884206920178143199725933539
ENOG4105CEY	543349	0.0008564576909900650907845152449
ENOG4105CEY	995019	0.0005138746145940390544707091470
ENOG4105CEY	1570339	0.0006851661527920520726276121960
ENOG4105CEY	143786	0.0001712915381980130181569030490
ENOG4105CEY	1653	0.01199040767386091127098321343
ENOG4105CEY	2070	0.01593011305241521068859198356
ENOG4105CEY	85028	0.002055498458376156217882836588
ENOG4105CEY	246874	0.0001712915381980130181569030490
ENOG4105CEY	563798	0.0006851661527920520726276121960
ENOG4105CEY	135616	0.0005138746145940390544707091470
ENOG4105CEY	444	0.001884206920178143199725933539
ENOG4105CEY	53434	0.0001712915381980130181569030490
ENOG4105CEY	31979	0.008907159986296676944158958547
ENOG4105CEY	85021	0.002569373072970195272353545735
ENOG4105CEY	39	0.001541623843782117163412127441
ENOG4105CEY	85023	0.001370332305584104145255224392
ENOG4105CEY	85025	0.01781431997259335388831791709
ENOG4105CEY	85026	0.01421719767043508050702295307
ENOG4105CEY	69277	0.005310037684138403562863994519
ENOG4105CEY	566277	0.0001712915381980130181569030490
ENOG4105CEY	31	0.002226789996574169236039739637
ENOG4105CEY	31977	0.004624871531346351490236382323
ENOG4105CEY	2049	0.004624871531346351490236382323
ENOG4105CEY	641	0.007879410757108598835217540254
ENOG4105CEY	213422	0.004967454607742377526550188421
ENOG4105CEY	213119	0.009592326139088729016786570743
ENOG4105CEY	213116	0.0006851661527920520726276121960
ENOG4105CEY	213117	0.0006851661527920520726276121960
ENOG4105CEY	83763	0.0003425830763960260363138060980
ENOG4105CEY	433	0.002055498458376156217882836588
ENOG4105CEY	80864	0.03305926687221651250428228845
ENOG4105CEY	332161	0.001027749229188078108941418294
ENOG4105CEY	188711	0.0003425830763960260363138060980
ENOG4105CEY	90964	0.002740664611168208290510448784
ENOG4105CEY	28256	0.002055498458376156217882836588
ENOG4105CEY	972	0.0001712915381980130181569030490
ENOG4105CEY	543	0.02997601918465227817745803357
ENOG4105CEY	320583	0.002398081534772182254196642686
ENOG4105CEY	83778	0.0001712915381980130181569030490
ENOG4105CEY	224463	0.0006851661527920520726276121960
ENOG4105CEY	188786	0.003768413840356286399451867078
ENOG4105CEY	83676	0.001712915381980130181569030490
ENOG4105CEY	255475	0.001370332305584104145255224392
ENOG4105CEY	224467	0.0003425830763960260363138060980
ENOG4105CEY	506	0.01027749229188078108941418294
ENOG4105CEY	224464	0.001199040767386091127098321343
ENOG4105CEY	41297	0.01353203151764302843439534087
ENOG4105CEY	41295	0.001884206920178143199725933539
ENOG4105CEY	41294	0.03460089071599862966769441590
ENOG4105CEY	468	0.01130524152106885919835560123
ENOG4105CEY	541000	0.007022953066118533744433025009
ENOG4105CEY	263369	0.0003425830763960260363138060980
ENOG4105CEY	1499392	0.001884206920178143199725933539
ENOG4105CEY	255474	0.0006851661527920520726276121960
ENOG4105CEY	85022	0.0001712915381980130181569030490
ENOG4105CEY	135620	0.002740664611168208290510448784
ENOG4105CEY	31957	0.001370332305584104145255224392
ENOG4105CEY	186828	0.0001712915381980130181569030490
ENOG4105CEY	332247	0.0001712915381980130181569030490
ENOG4105CEY	186821	0.0005138746145940390544707091470
ENOG4105CEY	539000	0.003597122302158273381294964029
ENOG4105CEY	186823	0.006337786913326481671805412813
ENOG4105CEY	186822	0.008735868448098663926002055498
ENOG4105CEY	49546	0.002055498458376156217882836588
ENOG4105CEY	868	0.0001712915381980130181569030490
ENOG4105CEY	72293	0.002740664611168208290510448784
ENOG4105CEY	45404	0.001199040767386091127098321343
ENOG4105CEY	224372	0.001884206920178143199725933539
ENOG4105CEY	1202464	0.0003425830763960260363138060980
ENOG4105CEY	213483	0.0005138746145940390544707091470
ENOG4105CEY	224379	0.0006851661527920520726276121960
ENOG4105CEY	118882	0.0003425830763960260363138060980
ENOG4105CEY	84107	0.003597122302158273381294964029
ENOG4105CEY	414877	0.002569373072970195272353545735
ENOG4105CEY	81850	0.001884206920178143199725933539
ENOG4105CEY	81852	0.0003425830763960260363138060980
ENOG4105CEY	85017	0.0003425830763960260363138060980
ENOG4105CEY	85016	0.0006851661527920520726276121960
ENOG4105CEY	186814	0.002569373072970195272353545735
ENOG4105CEY	84642	0.002569373072970195272353545735
ENOG4105CEY	186817	0.02620760534429599177800616650
